"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Успешный вход в систему","476","Успешный вход в систему","Surefire suite","Sat May 23 10:52:25 UTC 2026","passed","Sat May 23 10:52:25 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveValue"
"Добавление одного товара в корзину","625","Добавление одного товара в корзину","Surefire suite","Sat May 23 10:52:29 UTC 2026","passed","Sat May 23 10:52:30 UTC 2026","tests.AddToCartTest","Surefire test","tests.AddToCartTest","addToCartOne"
"Добавление всех доступных товаров в корзину","921","Добавление всех доступных товаров в корзину","Surefire suite","Sat May 23 10:52:28 UTC 2026","passed","Sat May 23 10:52:29 UTC 2026","tests.AddToCartTest","Surefire test","tests.AddToCartTest","addToCartMax"
"Проверка ошибки при пустом логине","432","Проверка ошибки при пустом логине","Surefire suite","Sat May 23 10:52:23 UTC 2026","passed","Sat May 23 10:52:24 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUser"
"Негативные проверки логина","451","Негативные проверки логина","Surefire suite","Sat May 23 10:52:27 UTC 2026","passed","Sat May 23 10:52:27 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkNegativeLoginDP"
"Удаление одного из нескольких товаров со страницы каталога","1399","Удаление одного из нескольких товаров со страницы каталога","Surefire suite","Sat May 23 10:52:21 UTC 2026","passed","Sat May 23 10:52:22 UTC 2026","tests.RemoveFromCartTest","Surefire test","tests.RemoveFromCartTest","removeItemOfManyFromProductPage"
"Негативные проверки логина","448","Негативные проверки логина","Surefire suite","Sat May 23 10:52:27 UTC 2026","passed","Sat May 23 10:52:28 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkNegativeLoginDP"
"Удаление одного из нескольких товаров прямо в корзине","1174","Удаление одного из нескольких товаров прямо в корзине","Surefire suite","Sat May 23 10:52:19 UTC 2026","passed","Sat May 23 10:52:20 UTC 2026","tests.RemoveFromCartTest","Surefire test","tests.RemoveFromCartTest","removeItemOfManyFromCart"
"Проверка ошибки при пустом пароле","447","Проверка ошибки при пустом пароле","Surefire suite","Sat May 23 10:52:22 UTC 2026","passed","Sat May 23 10:52:23 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка ошибки при неверных данных","471","Проверка ошибки при неверных данных","Surefire suite","Sat May 23 10:52:24 UTC 2026","passed","Sat May 23 10:52:25 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue"
"Добавление и удаление товара из корзины","1959","Добавление и удаление товара из корзины","Surefire suite","Sat May 23 10:52:17 UTC 2026","passed","Sat May 23 10:52:19 UTC 2026","tests.RemoveFromCartTest","Surefire test","tests.RemoveFromCartTest","removeItemLast"
"Негативные проверки логина","454","Негативные проверки логина","Surefire suite","Sat May 23 10:52:26 UTC 2026","passed","Sat May 23 10:52:26 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkNegativeLoginDP"
"","446","checkLocator","Surefire suite","Sat May 23 10:52:30 UTC 2026","passed","Sat May 23 10:52:31 UTC 2026","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
